AuthorYear,Authors,Title,Journal,Year,URL,Abstract,Relevant,Experiment,SourceType,SourceTypeNEW,Original,DataSourceReference,Country,YearsCovered,VarsSocioDemographic,VarPolBehavior,VarsOffices,VarsDistrict,VarsInteresting,Questions?
Boas2014,"Boas, Taylor C. Hidalgo, F. Daniel Richardson, Neal P.",The Spoils of Victory: Campaign Donations and Government Contracts in Brazil,JOP,2014,http://www.jstor.org/stable/10.1017/s002238161300145x,"When firms give money to candidates for public office, what return can they expect on their investment? Prior studies have been inconclusive, due to both methodological challenges and unique features of the U.S. political context on which they have focused. Using data from Brazil, we employ a regression discontinuity (RD) design to identify the effect of an electoral victory on government contracts for a candidate's corporate donors. Firms specializing in public-works projects can expect a substantial boost in contracts---at least 14 times the value of their contributions---when they donate to a federal-deputy candidate from the ruling Workers' Party (PT) and that candidate wins office. We find no effects among allied parties, indicating that the PT prioritizes this form of state spending for party strengthening rather than coalition management.",maybe,no,government,government,,Transparencia Database of the Office of the Comptroller General http://www.acessoainformacao.gov.br/,Brazil,"2004-2006, 2008-2010",no,yes,no,no,federal government contracts,
Bonica2013,"Bonica, Adam",Ideology and Interests in the Political Marketplace,AJPS,2013,http://www.jstor.org/stable/23496598,"I develop a statistical method to measure the ideology of candidates and political action committees (PACs) using contribution data. The method recovers ideal points for incumbents that strongly correlate with ideological measures recovered from voting records, while simultaneously recovering positions for PACs, unsuccessful challengers, and open-seat candidates. As the candidate ideal points are estimated independently of voting records, they represent a useful new resource for testing models of legislative behavior. By incorporating nonideological covariates known to influence PAC contributions, the method also shows promise as a platform for furthering our understanding of PAC contribution behavior.",yes,no,scholarly; government ,scholarly,,"Poole and Rosenthal, DW-Nominate Score, voteview.com; Wand, Jonathan. 2009. The Allocation of Campaign Contributionsby Interest Groups and the Rise of Elite Polarization. Working Paper. Stanford University.",US House and Senate,1980-2010,no,yes,yes,no,,
Bonica2014,"Bonica, Adam",Mapping the Ideological Marketplace,AJPS,2014,http://www.jstor.org/stable/24363491,"I develop a method to measure the ideology of candidates and contributors using campaign finance data. Combined with a data set of over 100 million contribution records from state and federal elections, the method estimates ideal points for an expansive range of political actors. The common pool of contributors who give across institutions and levels of politics makes it possible to recover a unified set of ideological measures for members of Congress, the president and executive branch, state legislators, governors, and other state officials, as well as the interest groups and individuals who make political donations. Since candidates fundraise regardless of incumbency status, the method estimates ideal points for both incumbents and nonincumbents. After establishing measure validity and addressing issues concerning strategic behavior, I present results for a variety of political actors and discuss several promising avenues of research made possible by the new measures.",yes,no,institute; government,institute; government,,Federal Election Commission https://www.fec.gov/data/browse-data/?tab=candidates;  Sunlight Foundation https://sunlightfoundation.com/; National Institute on Money https://www.followthemoney.org/; Center for Responsive Politics http://www.opensecrets.org/,US House and Senate,1979-2012,no,yes,yes,no,,
BRANTON2012,"BRANTON, R. E. G. I. N. A. P. CASSESE, E. R. I. N. C. JONES, B. R. A. D. F. O. R. D. S.","Race, Ethnicity, and U.S. House Incumbent Evaluations",LSQ,2012,http://www.jstor.org/stable/41719848,"This article considers evaluations of U.S. House incumbents under conditions of racial/ethnic congruence and incongruence. We consider whether different racial groups have ordered preferences among nondescriptive alternatives. We pose two theoretical models of descriptive representation and test them using pooled National Election Study data. After controlling for the propensity to recall the Member of Congress, we find the extent of favoritism towards descriptive representatives varies across groups, as does the preference ordering among representatives of different racial and ethnic identification. No evidence of race-based judgment is uncovered among African Americans, while Latinos and Whites demonstrate preferences based on race and ethnicity.",yes,no,scholarly;government,scholarly,,"The American National Election Studies, electionstudies.org; A Spatial Model for Legislative Roll Call Analysis Keith T. Poole and Howard Rosenthal. American Journal of Political Science, Vol. 29, No. 2 (May, 1985), pp. 357-384",US House,1982-2008,yes,yes,no,yes,,
Broockman2016,"Broockman, David E. Ryan, Timothy J.",Preaching to the Choir: Americans Prefer Communicating to Copartisan Elected Officials,AJPS,2016,http://www.jstor.org/stable/24877474,"Past work suggests that partisan attachments isolate citizens from encountering elite messages contrary to their points of view. Here, we present evidence that partisan attachments not only serve to filter the information citizens receive from political elites they also work in the other direction, isolating politicians from encountering potentially contrary perspectives from citizens. In particular, we hypothesized that Americans prefer expressing their opinions to politicians who share their party identification and avoid contacting outpartisan politicians. Three studies---drawing on a mixture of observational, field experimental, and natural experimental approaches---support this hypothesis: Citizens prefer to preach to the choir contacting legislators of the same partisan stripe. In light of evidence that contact from citizens powerfully affects politicians' stances and priorities, these findings suggest a feedback loop that might aggravate political polarization and help explain how politicians of different parties could develop different perceptions of the same constituencies.",maybe,yes,institute;experiment,institute;experiment,,Amazon MTurk; Survey Sampling International,US House and Senate,2013-2014,yes,yes,no,yes,,covers voter behavior?
Bullock2011,"Bullock, Will Clinton, Joshua D.",More a Molehill than a Mountain: The Effects of the Blanket Primary on Elected Officials' Behavior from California,JOP,2011,http://www.jstor.org/stable/10.1017/s0022381611000557,"Scholars, politicians, parties, and the U.S. Supreme Court argue that restricting the set of eligible voters for a primary election affects the nature of representation voters receive from elected officials. Evidence supporting this argument is elusive because the same elected officials are often responsible for determining the type of primary election used. Using a quasi-natural experiment resulting from a 1996 constitutional referendum in California, we examine whether expanding the eligible primary electorate from only registered partisans to any registered voter affects who is elected and the positions elected representatives take. We show that the blanket primary appears to favor the election of more moderate representatives and that incumbents take more moderate positions in the U.S. House of Representatives and California Assembly. This is true only in less partisan districts, and there are no effects in districts dominated by a single party. These differential effects suggest that concerns about representatives becoming increasingly polarized in legislatures are not likely remedied by simply expanding the set of voters eligible to participate in primary elections.1",no,no,,,,,,,,,,,,covers California data only
BUTLER2009,"BUTLER, D. A. N. I. E. L. M.",The Effect of the Size of Voting Blocs on Incumbents' Roll-Call Voting and the Asymmetric Polarization of Congress,LSQ,2009,http://www.jstor.org/stable/20680244,"Candidates face a trade-off in the general election between taking a more-moderate position that appeals to swing voters and a more-extreme position that appeals to voters in the party's base. The threat of abstention by voters in the party's base if their candidate takes a position too moderate for them moves candidates to take more-extreme positions. I discuss hypotheses regarding how this trade-off affects candidate positioning and describe my tests of those hypotheses using data on House members in the 107th Congress and Senate members for the period 1982-2004. I then present data on how the distribution of voters in the electorate has changed over the past three decades and discuss how, in light of my empirical findings, these changes might explain the observed pattern of asymmetric polarization in Congress in recent decades.",yes,no,institute,scholarly,,"2000 National Annenberg Election Survey, https://www.annenbergpublicpolicycenter.org/political-communication/naes/",US House and Senate,1982-2004,no,yes,yes,yes,,
Butler2012,"Butler, Daniel M. Karpowitz, Christopher F. Pope, Jeremy C.",A Field Experiment on Legislators' Home Styles: Service versus Policy,JOP,2012,http://www.jstor.org/stable/10.1017/s0022381611001708,"We conducted a field experiment involving roughly 1,000 letters sent by actual individuals to nearly 500 different legislative offices in order to test whether legislative offices prioritize service over policy in their home style. We find strong evidence that both state and federal legislative offices are more responsive to service requests than they are to policy requests. This pattern is consistent with the desire of legislators to gain leeway with their constituents in order to pursue their own policy goals. We also find that at the federal level Democrats prioritize service over policy more than Republicans and at the state level legislators who won by larger margins are more likely to prioritize service over policy. Finally, our results suggest that the decision to prioritize service occurs in how the office is structured. Among other things this suggests that legislators may be microtargeting less than is often supposed.",yes,yes,original,original,,no source given,US Senate US House State Senate State House,2009,no,no,yes,yes,,
Campbell2010,"CAMPBELL, R. O. S. I. E.; CHILDS, S. A. R. A. H.; LOVENDUSKI, J. O. N. I.",Do Women Need Women Representatives?,BJPS,2010,http://www.jstor.org/stable/40649428,"This article analyses the relationship between the representatives and the represented by comparing elite and mass attitudes to gender equality and women's representation in Britain. In so doing, the authors take up arguments in the recent theoretical literature on representation that question the value of empirical research of Pitkin's distinction between substantive and descriptive representation. They argue that if men and women have different attitudes at the mass level, which are reproduced amongst political elites, then the numerical under-representation of women may have negative implications for women's substantive representation. The analysis is conducted on the British Election Study (BES) and the British Representation Study (BRS) series.",yes,no,government,scholarly,,British Election Studies Infor- mation System (www.besis.org),Britan ,2001-2005,yes,yes,no,no,measuring attitudes towards gender equality,
CANES-WRONE2011,"CANES-WRONE, B. R. A. N. D. I. C. E. MINOZZI, W. I. L. L. I. A. M. REVELEY, J. E. S. S. I. C. A. B. O. N. N. E. Y.",Issue Accountability and the Mass Public,LSQ,2011,http://www.jstor.org/stable/23053237,"Under what conditions, if any, does the mass electorate hold congressional members accountable for their records on specific issues? We examine this question on the issue of crime, for which salience has varied substantially and opinion has favored Republicans, and the environment, for which salience has not varied much and voters have favored Democrats. Because different parametric specifications produce divergent findings, we utilize matching analysis in addition to ordinary least squares. The tests suggest that issue accountability exists even controlling for a member's overall record. However, such accountability depends crucially on issue salience and a member's partisan affiliation.",yes,no,government,government,,"League of Conservation Voters ratings, House members' roll call records, 1987-2004",US House ,1987-2004,no,yes,no,no,crime and environmental policy,
Cann2011,"Cann, Damon M. Sidman, Andrew H.","Exchange Theory, Political Parties, and the Allocation of Federal Distributive Benefits in the House of Representatives",JOP,2011,http://www.jstor.org/stable/10.1017/s0022381611000818,"Many works acknowledge partisan differences in distributive benefits. Few works, however, have empirically examined the role party-building activities play in these distributions. Through Exchange Theory, we hypothesize that legislators are rewarded with distributive benefits for promoting the legislative and electoral goals of the party. Using data on party unity, member-to-member contributions, and distributive benefits, we observe these exchange relationships occurring between members and their parties in the House of Representatives, as well as directly between representatives and members of the Appropriations Committee. The analyses point to the importance of political parties in distributive politics.",yes,no,government,government,,Federal Assistance Award Data System,US House,2001-2007,no,yes,yes,yes,party unity,
Carnes2012,"CARNES, N. I. C. H. O. L. A. S.",Does the Numerical Underrepresentation of the Working Class in Congress Matter?,LSQ,2012,http://www.jstor.org/stable/41719830,"Working-class citizens have been numerically underrepresented in policymaking institutions throughout most of America's history. Little is known, however, about the political consequences of this enduring feature of our democratic system. This essay examines the relationship between legislators' class backgrounds and their votes on economic policy in the House of Representatives during the twentieth century. Like ordinary Americans, representatives from working-class occupations exhibit more liberal economic preferences than other legislators, especially those from profit-oriented professions. These findings provide the first evidence of a link between the descriptive and substantive representation of social classes in the United States.",yes,no,scholarly; government,scholarly,,"Inter-university Consortium for Political and Social Research and Carroll McKibbin. 1997. Roster of United States Congressional Officeholders and Biographical Characteristics of Members of the United States Congress, 1789-1996: Merged Data [Computer file] (Study #7803). 10th ICPSR ed. Ann Arbor, MI: Inter-university Consortium for Political and Social Research",US House,1901-1997,yes,yes,yes,yes,legislator economic backgrounds,
Carnes2015,"Carnes, Nicholas Sadin, Meredith L.",The ``Mill Worker's Son'' Heuristic: How Voters Perceive Politicians from Working-Class Families---and How They Really Behave in Office,JOP,2015,http://www.jstor.org/stable/10.1086/678530,"Politicians often highlight how hard their families had it when they were growing up, presumably in the hopes that voters will see them as more supportive of policies that benefit middle- and working-class Americans. What do voters actually infer from how candidates were raised? And what should they infer? We use a set of candidate evaluation experiments (and an external validity test drawing on actual congressional election returns) to study how Americans perceive politicians raised in more and less affluent families. We then compare these perceptions to data on how lawmakers brought up in different classes actually behave in office. Although voters often infer that politicians from less privileged families are more economically progressive, these lawmakers don't actually stand out on standard measures of legislative voting. The ``mill worker's son'' heuristic appears to be a misleading shortcut, a cue that leads voters to make faulty inferences about candidates' political priorities.",yes,yes,scholarly,scholarly,,"Carnes, Nicholas [producer]. 2011. Congressional Leadership and Social Status [dataset]. Duke University.",US House,1999-2008,yes,yes,yes,yes,legislator economic backgrounds,based on experiment conducted by outside institution on voters--still relevant??
Carnes2015b,"Carnes, Nicholas Lupu, Noam",Rethinking the Comparative Perspective on Class and Representation: Evidence from Latin America,AJPS,2015,http://www.jstor.org/stable/24363593,"Does it matter that working-class citizens are numerically underrepresented in political offices throughout the world? For decades, the conventional wisdom in comparative politics has been that it does not, that lawmakers from different classes think and behave roughly the same in office. In this article, we argue that this conclusion is misguided. Past research relied on inappropriate measures of officeholders' class backgrounds, attitudes, and choices. Using data on 18 Latin American legislatures, we show that lawmakers from different classes bring different economic attitudes to the legislative process. Using data on one least likely case, we also show that pre-voting decisions like sponsoring legislation often differ dramatically along social class lines, even when political parties control higher-visibility decisions like roll-call votes. The unequal numerical or descriptive representation of social classes in the world's legislatures has important consequences for the substantive representation of different class interests.",yes,no,government; institute; scholarly,scholarly,,"Alemân, Eduardo, Ernesto Calvo, Mark P. Jones, and Noah Ka plan. 2009. ""Comparing Cosponsorship and Roll-Call Ideal Points."" Legislative Studies Quarterly 32(3): 449-74; The Class Distributions of Argentine Legislators in the USAL Survey and the Directorio Legislativo Dataset; International Labor Organization","Arentina, Latin America",2000-2001,yes,yes,yes,no,,
CARROLL2009,"CARROLL, R. O. Y. C. E. LEWIS, J. E. F. F. R. E. Y. B. JAMES, L. O. POOLE, K. E. I. T. H. T. ROSENTHAL, H. O. W. A. R. D.",Comparing NOMINATE and IDEAL: Points of Difference and Monte Carlo Tests,LSQ,2009,http://www.jstor.org/stable/20680257,"Empirical models of spatial voting allow us to infer legislators' locations in an abstract policy or ideological space using their roll-call votes. Over the past 25 years, these models have provided new insights about the U.S. Congress, and legislative behavior more generally. There are now a number of alternative models, estimators, and software packages that researchers can use to recover latent issue or ideological spaces from voting data. These different tools usually produce substantively similar estimates, but important differences also arise. We investigated the sources of observed differences between two leading methods, NOMINATE and IDEAL. Using data from the 1994 to 1997 Supreme Court and the 109th Senate, we determined that while some observed differences in the estimates produced by each model stem from fundamental differences in the models' underlying behavioral assumptions, others arise from arbitrary differences in implementation. Our Monte Carlo experiments revealed that neither model has a clear advantage over the other in the recovery of legislator locations or roll-call midpoints in either large or small legislatures.",yes,no,scholarly,scholarly,,,US Senate,2005-2006,no,yes,no,no,,
Carroll2010,"Carroll, Royce Kim, Henry A.","Party Government and the Cohesive Power of Public Plunder""""",AJPS,2010,http://www.jstor.org/stable/20647969,"We argue that party government in the U.S. House of Representatives rests on two pillars: the pursuit of policy goals and the disbursement of particularistic benefits. Existing theories of party government argue that the majority party in the House is often successful in biasing policy outcomes in its favor. In the process, it creates policy losers"" among its own members who nevertheless support their party on procedural votes. We posit that the majority party cretes an incentive for even the policy losers to support a procedural coalition through judicious distribution of particularistic benefits that compensates policy losers at a rate commensurate with the policy losses that they suffer. We evaluate our theory empirically using the concept of ""roll rates"" in conjunction with federal domestic outlays data for the period 1983-96. We find that within the majority party policy losers are favored in the distribution of ""pork barrel"" spending throughout this period.""",yes,no,scholarly,scholarly,,"Bickers, Kenneth, and Robert Stein. 2000. ""The Congressional Pork Barrel in a Republican Era."" Journal of Politics 62(4): 1070-86",US House,1983-1996,no,yes,yes,no,"majority/minority party; policy ""losses""; funding",
Carroll2013,"Carroll, Royce Lewis, Jeffrey B. Lo, James Poole, Keith T. Rosenthal, Howard",The Structure of Utility in Spatial Models of Voting,AJPS,2013,http://www.jstor.org/stable/23496670,"Empirical models of spatial voting allow legislators' locations in a policy or ideological space to be inferred from their roll-call votes. These are typically random utility models where the features of the utility functions other than the ideal points are assumed rather than estimated. In this article, we first consider a model in which legislators' utility functions are allowed to be a mixture of the two most commonly assumed utility functions: the quadratic function and the Gaussian function assumed by NOMINATE. Across many roll-call data sets, we find that legislators' utility functions are estimated to be very nearly Gaussian. We then relax the usual assumption that each legislator is equally sensitive to policy change and find that extreme legislators are generally more sensitive to policy change than their more centrally located counterparts. This result suggests that extremists are more ideologically rigid while moderates are more likely to consider influences that arise outside liberal-conservative conflict.",yes,no,scholarly,scholarly,,"Rosenthal, H., and E. Voeten. 2004. ""Analyzing Roll Calls with Perfect Spatial Voting: France 1946-1958."" American Journal of Political Science: 48(3) 630-32; Poole, K.T. 2005. Spatial Models of Parliamentary Voting. Cambridge: Cambridge. University Press. Clinton, J., S. D. Jackman, and D. Rivers. 2004. ""The Statistical
Analysis of Roll Call Data: A Unified Approach."" American Political Science Review 98: 355-70. ","US House and Senate, France, Europe ","2005-2007, 1953-2008",no,yes,yes,no,roll-call votes,
Carson2010,"Carson, Jamie L. Koger, Gregory Lebo, Matthew J. Young, Everett",The Electoral Costs of Party Loyalty in Congress,AJPS,2010,http://www.jstor.org/stable/27821941,"To what extent is party loyalty a liability for incumbent legislators? Past research on legislative voting and elections suggests that voters punish members who are ideologically out of step"" with their districts. In seeking to move beyond the emphasis in the literature on the effects of ideological extremity on legislative vote share we examine how partisan loyalty can adversely affect legislators' electoral fortunes. Specifically we estimate the effects of each legislator's party unity---the tendency of a member to vote with his or her party on salient issues that divide the two major parties---on vote margin when running for reelection. Our results suggest that party loyalty on divisive votes can indeed be a liability for incumbent House members. In fact "" we find that voters are not punishing elected representatives for being too ideological they are punishing them for being too partisan.",yes,yes,institute,institute,,"Party Unity Scores, 1955-2004, Congressional Quarterly Almanac",US House,1956-2004,no,yes,yes,yes,,
